contract,block,event_name,event_data,transaction_hash,gas,gas_price,log_index,block_timestamp
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20763130,Borrow,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""onBehalfOf"": ""0xcD40532686B94aBc88b06B9705AAcBc14c8364D6"", ""referralCode"": 0, ""user"": ""0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9"", ""amount"": 6500000000000000000000, ""interestRateMode"": 2, ""borrowRate"": 26832588278403375963364603}",0x68e38d6923ee26707066b6191621308acbf859d28d489f4755d88893c45f0a02,635366,6489766212,204,2024-09-16 12:18:35
0x4e68ccd3e89f51c3074ca5072bbac773960dfa36,20388027,Burn,"{""owner"": ""0xC36442b4a4522E871399CD717aBDD847Ab11FE88"", ""tickLower"": -195960, ""tickUpper"": -195480, ""amount"": 876139711116424, ""amount0"": 0, ""amount1"": 1182987079}",0x2c42e06d2262130a01d5b1ae0fea5ea2f0921e281eb16d84ee99df30a39dca52,385623,3554161731,220,2024-07-26 03:27:23
0x2f62f2b4c5fcd7570a709dec05d68ea19c82a9ec,20195668,Collect,"{""owner"": ""0xC36442b4a4522E871399CD717aBDD847Ab11FE88"", ""tickLower"": -191040, ""tickUpper"": -188880, ""recipient"": ""0xC36442b4a4522E871399CD717aBDD847Ab11FE88"", ""amount0"": 56557993193591451884618525, ""amount1"": 0}",0x6fc510210e290cadab1c7263ccf014e5561ccb280057f4add8a1510e0ab542d9,290928,2151328241,334,2024-06-29 06:51:11
0x5777d92f208679db4b9778590fa3cab3ac9e2168,20240828,Flash,"{""sender"": ""0x0345E97b81CB9C42f2C58b6b94e5B65F0DC2eEA0"", ""recipient"": ""0x0345E97b81CB9C42f2C58b6b94e5B65F0DC2eEA0"", ""amount0"": 0, ""amount1"": 3552958626, ""paid0"": 0, ""paid1"": 355296}",0x4ebe1e875410f1d65391b57e93320d9eb1b40e47f1382d90b5b0d28e32b58a27,356001,11678002858,90,2024-07-05 14:13:47
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20201767,FlashLoan,"{""target"": ""0xADC0A53095A0af87F3aa29FE0715B5c28016364e"", ""asset"": ""0x514910771AF9Ca656af840dff83E8264EcF986CA"", ""referralCode"": 0, ""initiator"": ""0x40f0BA0268c0D6684e7891350aE8CdDCBe265CD4"", ""amount"": 6052781183454910000000, ""interestRateMode"": 0, ""premium"": 3026390591727455000}",0xebb26873e5717c344b6caaf7cf77829e725bb387384d7839e9c872bdac78b2f4,2702429,1528514625,67,2024-06-30 03:18:35
0xcee31c846cbf003f4ceb5bbd234cba03c6e940c7,20696029,IncreaseObservationCardinalityNext,"{""observationCardinalityNextOld"": 1, ""observationCardinalityNextNew"": 5}",0xb9e1ecc1f9ecaf37703edb279923dbaddec298c3fd3f930d72258bf7234da18a,121011,2661392454,207,2024-09-07 03:27:59
0x0619062b988576fe2d39b33ff23fb1a0330c0ac7,20439543,Initialize,"{""sqrtPriceX96"": 17288783443124378686579400778, ""tick"": -30447}",0xf66ee5b8057aaed4bf7c248c434038b1a582d312daa6bed1b5e5044274c93e8b,6280561,2499489377,273,2024-08-02 08:02:23
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20622856,IsolationModeTotalDebtUpdated,"{""asset"": ""0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984"", ""totalDebt"": 817462965}",0x60bf12e4b82eee9da36d8e917ccb9b860b1b53583fc47858a8be918ea9d7ea5d,1491561,17856063832,164,2024-08-27 22:17:35
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20156807,LiquidationCall,"{""collateralAsset"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""debtAsset"": ""0xdAC17F958D2ee523a2206206994597C13D831ec7"", ""user"": ""0xDE092a220313CedE58750434b66D46B5ff494CBB"", ""debtToCover"": 2528110459, ""liquidatedCollateralAmount"": 770400046459640112, ""liquidator"": ""0x6980a47beE930a4584B09Ee79eBe46484FbDBDD0"", ""receiveAToken"": false}",0x8e6bbb379132488e4ab9e437664928db2ee09a05e82dc01d8051839f5ce9be08,1439721,2797398805,188,2024-06-23 20:34:47
0xc2e9f25be6257c210d7adf0d4cd6e3e881ba25f8,20494084,Mint,"{""owner"": ""0xC36442b4a4522E871399CD717aBDD847Ab11FE88"", ""tickLower"": -80820, ""tickUpper"": -77520, ""sender"": ""0xC36442b4a4522E871399CD717aBDD847Ab11FE88"", ""amount"": 90106894408143745490, ""amount0"": 248426545684400446305, ""amount1"": 183155424573120880}",0x5786a8a7ef8ecf1380fffd3da96707a86fbc220b437fdadf888346c807e86bd0,238124,2845867001,431,2024-08-09 22:39:11
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20382498,MintedToTreasury,"{""reserve"": ""0x514910771AF9Ca656af840dff83E8264EcF986CA"", ""amountMinted"": 701053654777924510}",0xbd7449789055926aaa700b463fd66dfa8e5684af1e10909c9104f1b7c2c8aca6,2335689,4159680151,243,2024-07-25 08:53:59
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20533721,Repay,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0xD63b6F7E0745272fB80b55DbC840e7dC29660D82"", ""repayer"": ""0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9"", ""amount"": 596825039130000000000, ""useATokens"": false}",0x2c0d38b32aeec674e063526760532025c11a980a256ca1b6aaefdad42d1fa02b,277935,7533915352,222,2024-08-15 11:25:47
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20162270,ReserveDataUpdated,"{""reserve"": ""0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48"", ""liquidityRate"": 73590477508490364689059659, ""stableBorrowRate"": 104968718488237692523664551, ""variableBorrowRate"": 89436932788278465425961911, ""liquidityIndex"": 1074210014261009547385800404, ""variableBorrowIndex"": 1095605771566762471507718267}",0x930a4245c06f752f0bcae120e22ecc679d008b34255adca6665eb07605a97f28,400000,8277135718,653,2024-06-24 14:54:47
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20479617,ReserveUsedAsCollateralDisabled,"{""reserve"": ""0x514910771AF9Ca656af840dff83E8264EcF986CA"", ""user"": ""0x02e7B8511831B1b02d9018215a0f8f500Ea5c6B3""}",0x3275a9bb0424bb3d43f539bf868ea887903f0aa5293aeb81fdf6eb9244d8d9d1,1261518,4601998145,232,2024-08-07 22:14:47
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20345709,ReserveUsedAsCollateralEnabled,"{""reserve"": ""0xdAC17F958D2ee523a2206206994597C13D831ec7"", ""user"": ""0xADC0A53095A0af87F3aa29FE0715B5c28016364e""}",0xee18f406ab382217e1921687ef3a9ca8165a8a9f8e4b684c707d4eff81baae5e,2117649,2585378352,25,2024-07-20 05:39:35
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20123341,Supply,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""onBehalfOf"": ""0xb03FeB49877a85925F15B42388f22512976ED54D"", ""referralCode"": 0, ""user"": ""0xb03FeB49877a85925F15B42388f22512976ED54D"", ""amount"": 182175791524366913602}",0x0ddf0c65f262b039e7a081ba5af7922e4468f02166b3c70374a11e494715b401,1614255,4880841847,119,2024-06-19 04:14:59
0x88e6a0c2ddd26feeb64f039a2c41296fcb3f5640,20731764,Swap,"{""sender"": ""0x12D737470fB3ec6C3DeEC9b518100Bec9D520144"", ""recipient"": ""0x12D737470fB3ec6C3DeEC9b518100Bec9D520144"", ""amount0"": 16619002927, ""amount1"": -7016118428989662504, ""sqrtPriceX96"": 1628262729545031190711227757429765, ""liquidity"": 7661423317123069840, ""tick"": 198623}",0x5a7bc266a37cdadd336eaa5daa9a6ca88e1df76d2116c75474a8ca4f72cc0de8,1452110,4082117908,604,2024-09-12 03:11:35
