contract,block,sender,recipient,amount0,amount1,sqrtpricex96,liquidity,tick,transaction_hash,gas,gas_price,log_index,block_timestamp
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413639,0x3b3ae790Df4F312e745D270119c6052904FB6790,0xFc99f58A8974A4bc36e60E2d490Bb8D72899ee9f,30000000000,-30000159863,79232327382554728964778356288,149639972587634595,1,0xdc7410256698cdc134515eff07bcad33d47c0630cf1b9a084d3f968d248d2d45,566796,9934758574,131,2024-07-29 17:12:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413641,0xdEF4a2438DF14050D98C0e9d4D93000000890BB2,0xdEF4a2438DF14050D98C0e9d4D93000000890BB2,-4702316668,4703281541,79232329872498321713270108444,149639972587634595,1,0x722059152617693a1edc49457af95b631c531959512d444561116c02c032a196,431132,8427505991,173,2024-07-29 17:13:23
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413642,0x5B93D80DA1a359340d1F339FB574bDC56763f995,0x5B93D80DA1a359340d1F339FB574bDC56763f995,1733284826,-1733293803,79232328954791102616926215566,149639972587634595,1,0x20f5ec8aab2339510631b2136e53d22b94d1670fef4807b77b966315ba530f02,790100,11124710376,106,2024-07-29 17:13:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413643,0x1111111254EEB25477B68fb85Ed929f73A960582,0x663DC15D3C1aC63ff12E45Ab68FeA3F0a883C251,-7271103120,7272595498,79232332804943896551544705943,149639972587634595,1,0xf3b2bf54430471c00d169e40cf063204933589d01df14b20b149920dda7ad276,532800,8603924626,259,2024-07-29 17:13:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413649,0x24902AA0cf0000a08c0EA0b003B0c0bF600000E0,0x24902AA0cf0000a08c0EA0b003B0c0bF600000E0,-67289904381,67303749012,79232368435925626217428278900,149639972587634595,1,0xc433500cb88b7222131e97dd8fabed71b78d5e7e14b32d725882bab2c1f20b34,498230,21318448545,50,2024-07-29 17:14:59
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413650,0x5B93D80DA1a359340d1F339FB574bDC56763f995,0x5B93D80DA1a359340d1F339FB574bDC56763f995,556693609,-556697038,79232368141177621154519921063,149639972587634595,1,0x0252dd408fe051d0fd673877531b5ce365c5c9782d3495fd846aae963fe7a70f,783786,10909647998,50,2024-07-29 17:15:11
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413655,0x6A000F20005980200259B80c5102003040001068,0x6A000F20005980200259B80c5102003040001068,-1049783539,1050000000,79232368697053502742239398654,149639972587634595,1,0x94db6890eae5ae1ab878e3be5bbe5ff63316c3173eef5fc4d5f7040eb6d3ca3e,192742,6005510260,220,2024-07-29 17:16:11
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413672,0x1111111254EEB25477B68fb85Ed929f73A960582,0xB562a3A8E8AdbE73361bdcBEa0CE05658c15cA2d,100000000,-100000617,79232368644107321302454928119,149639972587634595,1,0xacaad6804343d39e4a3d6ed16dbec1d9ae92e8f91a985a90fdbf3c84a9d8ba3b,239612,4662702623,143,2024-07-29 17:19:35
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413683,0x03F911AeDc25c770e701B8F563E8102CfACd62c0,0xFc99f58A8974A4bc36e60E2d490Bb8D72899ee9f,3999937416,-3999961987,79232366526293257708678155504,149639972587634595,1,0x6229f8c2b8ab469d3bb2dc21c9856c588105368c0ebd4263dea47bb5aaf21983,766226,6445444685,48,2024-07-29 17:21:47
0x3416cf6c708da44db2624d63ea0aaef7113527c6,20413693,0x00000000009E50a7dDb7a7B0e2ee6604fd120E49,0x3Df6Bb62348D786A50b635b638fF99D850f98211,-2430273337,2430774373,79232367813158826008359626410,149639972587634595,1,0x12d26e0f9c1ea8f164a568c8db80bfa3b3ff060fd8de45fa1d08d81b1fc8652d,759242,3855550899,484,2024-07-29 17:23:47
