contract,block,event_name,event_data,transaction_hash,gas,gas_price,log_index,block_timestamp
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20415080,IsolationModeTotalDebtUpdated,"{""asset"": ""0x9f8F72aA9304c8B593d555F12eF6589cC3A579A2"", ""totalDebt"": 846347110}",0xb73041b642dd298300236397a2eab8d69ff495390bc53fd4cb258612188b77ce,1067097,1935701891,165,2024-07-29 22:01:59
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20410530,ReserveUsedAsCollateralEnabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0x8cE3C66B4663090980f6ca05Ae3BC390d74731e9""}",0xce64a073b99a7e7e196c542fba23e23bf5e6ea0d12389a366f82b6aab0649dd5,1261117,1372711379,9,2024-07-29 06:49:35
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20410596,ReserveUsedAsCollateralEnabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0xADC0A53095A0af87F3aa29FE0715B5c28016364e""}",0x11b89e329cc255009d505afdde3b099eeaf79d99460888831e361c693f5e0cfd,2791496,2098896927,235,2024-07-29 07:02:47
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20411694,ReserveUsedAsCollateralEnabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9""}",0x8fec894756f8267e22262737d76e5c879800ca31152347e3b92a52d8cc7d62f6,396944,2482674312,67,2024-07-29 10:42:59
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20412703,ReserveUsedAsCollateralDisabled,"{""reserve"": ""0x6B175474E89094C44Da98b954EedeAC495271d0F"", ""user"": ""0x8cE3C66B4663090980f6ca05Ae3BC390d74731e9""}",0x429346d4cac3e29db7cf2813599f1b78488f7e2a49870d59a221aaad94fd9880,1556388,6356188188,108,2024-07-29 14:05:23
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20412814,ReserveUsedAsCollateralDisabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0x78F8Bd884C3D738B74B420540659c82f392820e0""}",0x9704c9785f3cf2e49f4bcfbe216e61bbe87ef48da1411cc52c2931b15ae99f2e,789489,4849701547,433,2024-07-29 14:27:35
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20414503,ReserveUsedAsCollateralEnabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0x3bc1588f8D987C9ED07B3796AA50ccBF10514326""}",0x0e6e54b46a28a0da812ebaa859ad1e535d43f817daf457b8095650744f979635,943162,2515821334,19,2024-07-29 20:06:23
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20414895,ReserveUsedAsCollateralEnabled,"{""reserve"": ""0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599"", ""user"": ""0x02e7B8511831B1b02d9018215a0f8f500Ea5c6B3""}",0xff6ec9bc574595a59d22eea6007cb553070c1d79cc43713e5194687b58da95e7,1422943,3175166006,44,2024-07-29 21:24:59
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20414972,ReserveUsedAsCollateralDisabled,"{""reserve"": ""0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2"", ""user"": ""0x893411580e590D62dDBca8a703d61Cc4A8c7b2b9""}",0x0355c8dd16f501ea600a15d3aa3adb6945f0f0cea778452b0eb1c2639efdd24a,465666,3233017336,317,2024-07-29 21:40:23
0x87870bca3f3fd6335c3f4ce8392d69350b4fa4e2,20415232,ReserveUsedAsCollateralDisabled,"{""reserve"": ""0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9"", ""user"": ""0x02e7B8511831B1b02d9018215a0f8f500Ea5c6B3""}",0x67d7971beeab1ff9eaa0de660551a1e41882344b3f25ae554201eaa71b06d616,1313544,1290607265,9,2024-07-29 22:32:23
